node_id,lon,lat
507,-122.2346427,37.7545895
508,-122.238827,37.7512867
509,-122.238658,37.7514452
510,-122.2679525,37.7749679
511,-122.2679008,37.7760353
512,-122.2853376,37.7687765
513,-122.2358494,37.7651035
514,-122.2352509,37.7647864
515,-122.2567341,37.7643339
516,-122.2559871,37.7654147
517,-122.2547981,37.7671491
518,-122.2535933,37.768883
519,-122.2519463,37.7712709
520,-122.2513456,37.7721397
521,-122.2495673,37.7747304
522,-122.2282344,37.7647869
523,-122.242049,37.7557316
524,-122.2416796,37.7561741
525,-122.2628904,37.7633261
526,-122.2690092,37.7647823
527,-122.2698441,37.7650898
528,-122.230079,37.7668007
529,-122.2282446,37.7657823
530,-122.2562024,37.7731208
531,-122.2556042,37.773991
532,-122.2382102,37.7508881
533,-122.2750724,37.7714002
534,-122.2844721,37.7804538
535,-122.2844563,37.7810743
536,-122.2844198,37.7817528
537,-122.2981598,37.7845639
538,-122.3022741,37.784778
539,-122.2447282,37.76043
540,-122.2706782,37.766143
541,-122.2695738,37.7658143
542,-122.2659622,37.7644694
543,-122.2620455,37.7630144
544,-122.2590067,37.7622421
545,-122.2583796,37.7621206
546,-122.2572169,37.7618922
547,-122.2562721,37.761592
548,-122.2546265,37.7609724
549,-122.2539918,37.760735
550,-122.2531976,37.7604001
551,-122.2527339,37.7601356
552,-122.2434728,37.7548645
553,-122.2412727,37.7535058
554,-122.240508,37.75297
555,-122.2889923,37.7764747
556,-122.2890435,37.7752036
557,-122.2859252,37.7744585
558,-122.2767702,37.7742424
559,-122.2657704,37.7601114
560,-122.2384881,37.7653972
561,-122.2381089,37.7658573
562,-122.2400836,37.7545769
563,-122.2394835,37.7551193
564,-122.238302,37.7561876
565,-122.2377101,37.7567281
566,-122.2364807,37.7578415
567,-122.2357021,37.7585431
568,-122.2342854,37.7598238
569,-122.232723,37.7612251
570,-122.2341513,37.7631388
571,-122.2313048,37.7665584
572,-122.2675844,37.7821392
573,-122.2288748,37.7652332
574,-122.2896059,37.7764975
575,-122.2396263,37.7513264
576,-122.2385303,37.7506173
577,-122.2939198,37.787699
578,-122.2948824,37.788139
579,-122.2255557,37.7612137
580,-122.237539,37.7556526
581,-122.2344645,37.7535189
582,-122.2867192,37.7785396
583,-122.2549672,37.7603013
584,-122.2691808,37.7645003
585,-122.2367825,37.7592979
586,-122.2349378,37.7580056
587,-122.2597429,37.7745752
588,-122.2602458,37.7738627
589,-122.2860538,37.7716602
590,-122.2858823,37.775385
591,-122.2858501,37.7763941
592,-122.2440225,37.7576375
593,-122.2576547,37.7636018
594,-122.2273403,37.7572313
595,-122.2257061,37.7598479
596,-122.2715439,37.7761281
597,-122.2714354,37.778946
598,-122.2485205,37.7566557
599,-122.3019554,37.7887187
600,-122.2654465,37.7654301
601,-122.2319657,37.7606934
602,-122.2768778,37.7714448
603,-122.276732,37.7751995
604,-122.2766918,37.7762548
605,-122.2273311,37.7561262
606,-122.2368717,37.7511108
607,-122.2356426,37.7524415
608,-122.2338715,37.7540554
609,-122.2329717,37.7548876
610,-122.2810714,37.7715432
611,-122.2636201,37.7664736
612,-122.2605723,37.7651515
613,-122.255853,37.7640184
614,-122.2551456,37.7650562
615,-122.2539539,37.766789
616,-122.2527577,37.7685199
617,-122.2511102,37.7709073
618,-122.2505114,37.771775
619,-122.248725,37.7743743
620,-122.2414677,37.756437
621,-122.2305868,37.766182
622,-122.2633008,37.7747919
623,-122.2632579,37.7758393
624,-122.2705929,37.7809866
625,-122.2533723,37.7594267
626,-122.2784592,37.7683991
627,-122.2687732,37.7671608
628,-122.2681721,37.761007
629,-122.2641196,37.7594928
630,-122.2567392,37.7567618
631,-122.2982417,37.7835603
632,-122.2979838,37.7867103
633,-122.2672061,37.7749361
634,-122.2754628,37.7762204
635,-122.2693512,37.7760767
636,-122.2658637,37.7759537
637,-122.259203,37.7754788
638,-122.2547338,37.7736104
639,-122.2530152,37.7728684
640,-122.252187,37.7725012
641,-122.247628,37.7705198
642,-122.2447735,37.7692811
643,-122.2565074,37.7632821
644,-122.2586116,37.7647807
645,-122.2576663,37.7661449
646,-122.2564701,37.7678783
647,-122.2552723,37.7696134
648,-122.2536228,37.7720008
649,-122.2512449,37.7754644
650,-122.2755197,37.7751656
651,-122.2694015,37.7750204
652,-122.2691031,37.7750103
653,-122.2684446,37.7749875
654,-122.2658614,37.7748819
655,-122.2553359,37.7727455
656,-122.2527845,37.7716366
657,-122.2482282,37.7696515
658,-122.2453703,37.7684112
659,-122.2358745,37.7640335
660,-122.231213,37.7613735
661,-122.259374,37.7668867
662,-122.2522671,37.7637951
663,-122.2494191,37.7625527
664,-122.244287,37.7601959
665,-122.2406241,37.7583103
666,-122.2369388,37.7561914
667,-122.2510715,37.7655301
668,-122.2498763,37.7672652
669,-122.2458415,37.7731183
670,-122.2550766,37.759558
671,-122.2678503,37.7807706
672,-122.27345,37.7799469
673,-122.2691433,37.7739905
674,-122.286185,37.7817702
675,-122.2292688,37.7554879
676,-122.2581798,37.7686279
677,-122.2482013,37.7642816
678,-122.2429843,37.7618235
679,-122.2394191,37.7597647
680,-122.2357129,37.7573053
681,-122.2391221,37.751477
682,-122.2656394,37.7831157
683,-122.2569788,37.770355
684,-122.2529401,37.776215
685,-122.250402,37.7751009
686,-122.2429814,37.7718832
687,-122.2420444,37.7714728
688,-122.2952802,37.7876941
689,-122.2508192,37.7605186
690,-122.2470243,37.7660224
691,-122.2713589,37.7703517
692,-122.2695913,37.7703057
693,-122.2859395,37.7683076
694,-122.2353868,37.7605512
695,-122.2425409,37.7559879
696,-122.2812114,37.7722613
697,-122.2298658,37.7658025
698,-122.2260287,37.7585333
699,-122.2287376,37.7559679
700,-122.2358957,37.7508659
701,-122.2451644,37.7529324
702,-122.2441927,37.7526105
703,-122.2414328,37.7517508
704,-122.2659314,37.7711543
705,-122.2597817,37.7710016
706,-122.2376891,37.7618504
707,-122.2335149,37.7592959
708,-122.2400716,37.7555275
709,-122.2387164,37.7545816
710,-122.2345296,37.7516494
711,-122.2452294,37.7542339
712,-122.2412525,37.7521013
713,-122.2409728,37.7520072
714,-122.2313655,37.7626545
715,-122.2970151,37.7891516
716,-122.255572,37.7626518
717,-122.2617586,37.764859
718,-122.3005572,37.7886481
719,-122.3081201,37.78904
720,-122.3096452,37.7762496
721,-122.2661004,37.7667913
722,-122.2735204,37.7805313
723,-122.2749112,37.7693351
724,-122.2501687,37.75968
725,-122.2781897,37.7886889
726,-122.2764259,37.7847086
727,-122.2760564,37.7846604
728,-122.2752026,37.785105
729,-122.2737929,37.7859386
730,-122.2781168,37.7859304
731,-122.278732,37.779754
732,-122.2744087,37.7790223
733,-122.2726964,37.7746973
734,-122.2765961,37.7855394
735,-122.27804,37.7820174
736,-122.2935452,37.7878073
737,-122.2355422,37.7671706
738,-122.2307804,37.768121
739,-122.2315839,37.7680276
740,-122.2395224,37.7665406
741,-122.2412792,37.766069
742,-122.2418893,37.7663316
743,-122.2420534,37.7660964
744,-122.2376905,37.7670081
745,-122.2378255,37.766742
746,-122.2342137,37.7511553
747,-122.2361259,37.7504067
748,-122.2385367,37.7515811
749,-122.2374954,37.7508181
750,-122.2327899,37.7523558
751,-122.2338032,37.7561497
752,-122.25902,37.7727931
753,-122.245621,37.7535786
754,-122.2490011,37.7567542
755,-122.2700056,37.7675266
756,-122.2715988,37.7669439
757,-122.2718619,37.7675466
758,-122.264884,37.7660418
759,-122.2636576,37.7655878
760,-122.2638333,37.7710589
761,-122.2715405,37.7676776
762,-122.2536849,37.7590378
763,-122.2930943,37.7877435
764,-122.2758618,37.78373
765,-122.2546645,37.7769383
766,-122.2555965,37.7770431
767,-122.2552804,37.7770753
768,-122.2761999,37.7837874
769,-122.2752316,37.7819546
770,-122.2750958,37.7815107
771,-122.283892,37.7848079
772,-122.2820161,37.785079
773,-122.2721617,37.7662963
774,-122.2721514,37.7659972
775,-122.2730552,37.7659027
776,-122.2728406,37.7657916
777,-122.2730057,37.7656786
778,-122.2380746,37.7668489
779,-122.2357706,37.7673219
780,-122.2445649,37.7548924
781,-122.2781562,37.7903771
782,-122.2324423,37.7671498
783,-122.2656584,37.7786631
784,-122.269543,37.7631351
785,-122.2699607,37.7647834
786,-122.2593499,37.7616266
787,-122.2896267,37.7770831
788,-122.2845467,37.7764301
789,-122.2829813,37.7753484
790,-122.2844339,37.7761673
791,-122.2556031,37.7755771
792,-122.255296,37.7760199
793,-122.2603451,37.7642011
794,-122.2600431,37.7642806
795,-122.2262266,37.7644875
796,-122.2372312,37.7515901
797,-122.2287742,37.7604458
798,-122.2264187,37.7588068
799,-122.2630928,37.7781561
800,-122.2699431,37.7811808
801,-122.2713978,37.7806111
802,-122.2726577,37.7800593
803,-122.2698823,37.7841102
804,-122.246981,37.7554151
805,-122.2380572,37.7514664
806,-122.2861492,37.784396
807,-122.2891643,37.7801692
808,-122.284036,37.7810688
809,-122.2904017,37.7811617
810,-122.2862105,37.7804695
811,-122.2882561,37.782634
812,-122.2831583,37.7810563
813,-122.289367,37.7811386
814,-122.2838995,37.7843715
815,-122.2904509,37.7821833
816,-122.2877274,37.7844245
817,-122.2908112,37.780472
818,-122.2839158,37.7837574
819,-122.2835117,37.7824384
820,-122.2908529,37.7838506
821,-122.2908633,37.7846921
822,-122.2908271,37.781167
823,-122.2827427,37.7807274
824,-122.2844037,37.7846694
825,-122.2879898,37.7817925
826,-122.2884338,37.7804696
827,-122.2839234,37.7831049
828,-122.2904355,37.7835143
829,-122.2823822,37.7803372
830,-122.2831093,37.7837775
831,-122.2903998,37.7846338
832,-122.2842667,37.7801427
833,-122.2896286,37.7844423
834,-122.2893579,37.7831634
835,-122.2822604,37.7840482
836,-122.2834792,37.7843646
837,-122.2823474,37.7819619
838,-122.2882232,37.784431
839,-122.2826896,37.7847852
840,-122.2839518,37.7804472
841,-122.2827215,37.7817245
842,-122.2878479,37.7811207
843,-122.2887616,37.784734
844,-122.2881345,37.780149
845,-122.2862046,37.7807736
846,-122.2823702,37.7810459
847,-122.2839504,37.7801411
848,-122.2823866,37.7800933
849,-122.2884228,37.7847314
850,-122.2882323,37.7838028
851,-122.2815669,37.785089
852,-122.2844149,37.7843775
853,-122.2891625,37.7804844
854,-122.2840732,37.7846648
855,-122.28968,37.7838366
856,-122.2861686,37.783451
857,-122.2823052,37.7848893
858,-122.2827358,37.7810517
859,-122.2831042,37.7840615
860,-122.2881961,37.7823718
861,-122.2880419,37.7847195
862,-122.2884091,37.7825012
863,-122.2908437,37.7825377
864,-122.2904181,37.780818
865,-122.2848997,37.7810801
866,-122.2887694,37.7844396
867,-122.2861636,37.7837852
868,-122.2904143,37.7804906
869,-122.2904401,37.7831895
870,-122.2827069,37.7843561
871,-122.286222,37.7801554
872,-122.2904216,37.7838437
873,-122.290446,37.7825335
874,-122.2861559,37.7841068
875,-122.2904113,37.7841571
876,-122.2884404,37.780155
877,-122.2908593,37.7844169
878,-122.2823377,37.782231
879,-122.2831507,37.7817338
880,-122.2882508,37.78316
881,-122.2861431,37.7846933
882,-122.2862005,37.7810972
883,-122.2818709,37.7843482
884,-122.2840255,37.7817435
885,-122.287723,37.7847151
886,-122.2819493,37.7840433
887,-122.2908167,37.7802329
888,-122.2904439,37.7828449
889,-122.2873701,37.7801448
890,-122.2899685,37.7811476
891,-122.2847388,37.7801554
892,-122.2850419,37.7801554
893,-122.2889684,37.7818046
894,-122.2840274,37.782584
895,-122.2841491,37.7823277
896,-122.2904098,37.7818223
897,-122.2899691,37.7818192
898,-122.2876517,37.7801469
899,-122.2850282,37.7804661
900,-122.2789032,37.7805139
901,-122.2861927,37.7814325
902,-122.283163,37.7888435
903,-122.2787273,37.7801629
904,-122.2787228,37.7803972
905,-122.2808961,37.7805482
906,-122.2784327,37.7801573
907,-122.2874072,37.7817853
908,-122.2797394,37.7805338
909,-122.2848991,37.7817543
910,-122.2973496,37.7714721
911,-122.2979654,37.7722041
912,-122.2980389,37.7716672
913,-122.3049085,37.7906927
914,-122.2958151,37.784262
915,-122.3031314,37.7902909
916,-122.3049627,37.7888764
917,-122.2913457,37.7809427
918,-122.2907635,37.7870546
919,-122.2946694,37.7857409
920,-122.2923999,37.7863933
921,-122.2908071,37.7741974
922,-122.2941689,37.7847007
923,-122.296251,37.7893513
924,-122.2935582,37.7791624
925,-122.2956954,37.7797866
926,-122.2900453,37.773537
927,-122.2927981,37.7736218
928,-122.285138,37.7869003
929,-122.2846482,37.7890294
930,-122.2781707,37.7853813
931,-122.2770252,37.7882033
932,-122.2784621,37.7881244
933,-122.2768826,37.7907949
934,-122.2772062,37.7847684
935,-122.2786134,37.7870055
936,-122.2772853,37.7882533
937,-122.272705,37.7825127
938,-122.2745784,37.7826364
939,-122.2761329,37.7879998
940,-122.2724476,37.7834985
941,-122.2626556,37.7786727
